model,dataset,recall,query_latency,construction_time
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9505,0.00029812812805175777,2243.4489567279816
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9505,0.0003118896484375,2243.4489567279816
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.972,0.00042340278625488284,2698.315906524658
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.86975,0.0005262064933776855,2711.105731964112
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.97475,0.0004130709171295166,2243.4489567279816
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9725,0.0004639029502868652,2712.000156402588
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9505,0.00029732584953308107,2243.4489567279816
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.86975,0.0005185043811798094,2711.105731964112
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9725,0.0004590249061584473,2712.000156402588
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.972,0.00043327212333679196,2698.315906524658
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9435,0.0007130002975463867,2711.105731964112
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9725,0.00046052575111389156,2712.000156402588
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.972,0.00043030142784118654,2698.315906524658
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.983,0.0006165218353271485,2698.315906524658
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.86975,0.0005134153366088867,2711.105731964112
NSG,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.98475,0.0006461977958679198,2712.000156402588
HNSW,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.815,0.000193023681640625,479.4650042057037
HNSW,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9595,0.0004509401321411132,1239.5023555755615
HNSW,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.634,0.00014026999473571778,274.92137145996094
HNSW,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.978,0.0006192457675933839,1772.9087207317352
HNSW,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9155,0.0007290935516357421,1278.3372521400452
HNSW,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.7275,0.0003812849521636963,504.8993134498596
HNSW,agnews-mxbai-1024-euclidean_20_variants_1024_dim,0.9965,0.0017733740806579591,2722.206838607788
