model,dataset,recall,query_latency,construction_time
NSG,audio_rc_1.25,0.98925,0.00011133313179016113,93.96332359313963
NSG,audio_rc_1.25,0.99175,0.00013069629669189455,94.72318983078004
NSG,audio_rc_1.25,0.9925,0.0001220703125,96.98463153839111
NSG,audio_rc_1.25,0.99175,0.00010864257812499999,94.72318983078004
NSG,audio_rc_1.25,0.98925,0.00010137200355529785,93.96332359313963
NSG,audio_rc_1.25,0.971,7.958412170410157e-05,85.79540085792542
NSG,audio_rc_1.25,0.971,7.233262062072754e-05,85.79540085792542
NSG,audio_rc_1.25,0.9925,0.00012059807777404784,96.98463153839111
NSG,audio_rc_1.25,0.971,7.087230682373048e-05,85.79540085792542
NSG,audio_rc_1.25,0.9935,0.00014291644096374513,93.96332359313963
NSG,audio_rc_1.25,0.99175,0.0001174628734588623,94.72318983078004
NSG,audio_rc_1.25,0.99525,0.00018506169319152833,94.72318983078004
NSG,audio_rc_1.25,0.9865,0.0001203596591949463,85.79540085792542
NSG,audio_rc_1.25,0.99525,0.0001734757423400879,96.98463153839111
NSG,audio_rc_1.25,0.9925,0.00010909795761108399,96.98463153839111
NSG,audio_rc_1.25,0.98925,0.00011850118637084962,93.96332359313963
HNSW,audio_rc_1.25,0.94125,0.00013611316680908203,10.520544528961182
HNSW,audio_rc_1.25,0.91825,0.00012691855430603026,7.065272092819214
HNSW,audio_rc_1.25,0.99375,0.00014421582221984863,9.53351616859436
HNSW,audio_rc_1.25,0.9965,0.00016240477561950683,10.55440902709961
HNSW,audio_rc_1.25,0.99975,0.0006841230392456055,29.66286444664001
HNSW,audio_rc_1.25,0.975,0.0001223742961883545,8.799340009689331
HNSW,audio_rc_1.25,0.86075,8.389472961425781e-05,7.908073663711548
FLATNAV,audio_rc_1.25,0.93825,9.259223937988282e-05,3.1268556118011475
FLATNAV,audio_rc_1.25,0.9945,0.00022369623184204102,10.41086220741272
FLATNAV,audio_rc_1.25,0.974,0.00016252160072326662,10.207455158233644
FLATNAV,audio_rc_1.25,0.93825,9.586095809936523e-05,2.8936421871185303
FLATNAV,audio_rc_1.25,0.986,0.00013565421104431153,10.866047143936155
FLATNAV,audio_rc_1.25,0.954,8.103966712951661e-05,2.9470129013061523
FLATNAV,audio_rc_1.25,0.98175,0.00012856721878051758,5.366013288497925
FLATNAV,audio_rc_1.25,0.893,8.707404136657714e-05,2.5078649520874023
FLATNAV,audio_rc_1.25,0.97225,0.00013414740562438964,6.79718017578125
FLATNAV,audio_rc_1.25,0.96925,0.00020874500274658202,7.028177738189697
FLATNAV,audio_rc_1.25,0.954,8.635520935058595e-05,3.2796072959899902
NSG,glove_rc_2.0,0.8175,9.05752182006836e-05,1283.2270011901855
NSG,glove_rc_2.0,0.85925,0.00010260581970214844,1261.0856447219849
NSG,glove_rc_2.0,0.8175,9.000420570373534e-05,1283.2270011901855
NSG,glove_rc_2.0,0.86975,0.00015418529510498048,1331.6799659729004
NSG,glove_rc_2.0,0.85925,0.00010333895683288574,1261.0856447219849
NSG,glove_rc_2.0,0.8175,8.758187294006347e-05,1283.2270011901855
NSG,glove_rc_2.0,0.8785,0.00014513969421386719,1261.0856447219849
NSG,glove_rc_2.0,0.85175,0.0001258552074432373,1283.2270011901855
NSG,glove_rc_2.0,0.832,0.00014047980308532713,1331.6799659729004
NSG,glove_rc_2.0,0.832,0.0001292109489440918,1331.6799659729004
NSG,glove_rc_2.0,0.832,0.00011155247688293458,1331.6799659729004
NSG,glove_rc_2.0,0.84625,0.0001108872890472412,1234.3364753723145
NSG,glove_rc_2.0,0.85925,0.00010174989700317384,1261.0856447219849
NSG,glove_rc_2.0,0.87025,0.00015853404998779298,1234.3364753723145
NSG,glove_rc_2.0,0.84625,0.00010805010795593263,1234.3364753723145
NSG,glove_rc_2.0,0.84625,0.00010966300964355471,1234.3364753723145
HNSW,glove_rc_2.0,0.78775,0.00011499404907226562,713.1025214195251
HNSW,glove_rc_2.0,0.675,8.36634635925293e-05,514.6898136138916
HNSW,glove_rc_2.0,0.899,0.00020027518272399902,2866.031960010529
