model,qn,dataset,fileName,recall without refinemet,search_time without refinemnt,qps,recall with 2k refinement,search_time with 2k refienement,qps with 2k refienement,construction time,memory
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-24-8,0.89475,0.0404775142669677,4941.014872625534,0.9505,0.0596256256103515,3354.262499600141,2243.4489567279816,8518280
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-24-16,0.89475,0.0389306545257568,5137.339775977267,0.9505,0.0623779296875,3206.262230919765,2243.4489567279816,8518280
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-48-32,0.9645,0.0757503509521484,2640.251794032481,0.972,0.0846805572509765,2361.817239903597,2698.315906524658,8511196
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-12-32,0.84625,0.0887689590454101,2253.0398255283035,0.86975,0.1052412986755371,1900.394640858695,2711.105731964112,8520532
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-24-64,0.97475,0.0829837322235107,2410.1109294688545,0.97475,0.0826141834259033,2420.891809447951,2243.4489567279816,8518280
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-64-32,0.96675,0.0789508819580078,2533.220592853864,0.9725,0.092780590057373,2155.6232815109856,2712.000156402588,8528760
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-24-32,0.9395,0.0516459941864013,3872.517184549832,0.9505,0.0594651699066162,3363.313353246597,2243.4489567279816,8518280
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-12-8,0.74025,0.069904088973999,2861.062964061951,0.86975,0.1037008762359619,1928.6240122495997,2711.105731964112,8520532
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-64-16,0.93675,0.0602357387542724,3320.2879907538977,0.9725,0.0918049812316894,2178.5310264947097,2712.000156402588,8528760
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-48-16,0.925,0.0586144924163818,3412.125427603347,0.972,0.0866544246673584,2308.0183241391646,2698.315906524658,8511196
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-12-64,0.9435,0.138624906539917,1442.742180983257,0.9435,0.1426000595092773,1402.5239588836798,2711.105731964112,8520532
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-64-8,0.93675,0.06014084815979,3325.526761255743,0.9725,0.0921051502227783,2171.4312339348257,2712.000156402588,8528760
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-48-8,0.925,0.0580513477325439,3445.2257839291947,0.972,0.0860602855682373,2323.9523164424054,2698.315906524658,8511196
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-48-64,0.983,0.1242663860321044,1609.4456947378317,0.983,0.1233043670654296,1622.0025677912354,2698.315906524658,8511196
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-12-16,0.74025,0.0678691864013671,2946.845403704016,0.86975,0.1026830673217773,1947.7408030017368,2711.105731964112,8520532
NSG,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,NSG-agnews-mxbai-1024-euclidean_20_variants_1024_dim-64-64,0.98475,0.1276772022247314,1566.4503647876725,0.98475,0.1292395591735839,1547.5137897319537,2712.000156402588,8528760
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-24-12-24,0.8045,0.0372674465179443,5366.613993896783,0.815,0.038604736328125,5180.711462450593,479.4650042057037,6910064
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-48-24-48,0.954,0.0843198299407959,2371.9212923036903,0.9595,0.0901880264282226,2217.589273440557,1239.5023555755615,7111144
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-16-8-16,0.63325,0.0279574394226074,7153.730961436782,0.634,0.0280539989471435,7129.108416123467,274.92137145996094,6852028
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-64-32-64,0.97725,0.1207296848297119,1656.5934076784688,0.978,0.1238491535186767,1614.8677186545283,1772.9087207317352,7240868
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-32-16-32,0.91125,0.1393189430236816,1435.5549622997337,0.9155,0.1458187103271484,1371.5661011628365,1278.3372521400452,6985080
HNSW,200,agnews-mxbai-1024-euclidean_20_variants_1024_dim,HNSW-agnews-mxbai-1024-euclidean_20_variants_1024_dim-16-16-16,0.69825,0.0728654861450195,2744.78371834304,0.7275,0.0762569904327392,2622.7103753380543,504.8993134498596,6862504
