model,qn,dataset,fileName,recall without refinemet,search_time without refinemnt,qps,recall with 2k refinement,search_time with 2k refienement,qps with 2k refienement,construction time,memory
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-24-16,0.9595,0.0133895874023437,14936.980056980055,0.98925,0.0222666263580322,8982.052188065487,93.96332359313963,770324
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-48-32,0.98375,0.0234801769256591,8517.823380684991,0.99175,0.0261392593383789,7651.32620672042,94.72318983078004,772500
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-64-32,0.98375,0.0200364589691162,9981.803686383702,0.9925,0.0244140625,8192.0,96.98463153839111,771668
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-48-16,0.9655,0.0159015655517578,12577.377953700372,0.99175,0.021728515625,9204.494382022473,94.72318983078004,772500
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-24-32,0.97775,0.0190610885620117,10492.580177115124,0.98925,0.0202744007110595,9864.656561261569,93.96332359313963,770324
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-12-32,0.96,0.0157907009124755,12665.68223339524,0.971,0.0159168243408203,12565.32055122828,85.79540085792542,774748
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-12-8,0.922,0.0087010860443115,22985.636388546376,0.971,0.0144665241241455,13825.021012904395,85.79540085792542,774748
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-64-16,0.96675,0.0149238109588623,13401.402667944723,0.9925,0.0241196155548095,8292.00612860179,96.98463153839111,771668
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-12-16,0.922,0.0107936859130859,18529.351475525717,0.971,0.014174461364746,14109.883603579356,85.79540085792542,774748
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-24-64,0.9935,0.0305852890014648,6539.091390976271,0.9935,0.028583288192749,6997.0955983551175,93.96332359313963,770324
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-48-8,0.9655,0.0152151584625244,13144.785872103044,0.99175,0.0234925746917724,8513.328258994266,94.72318983078004,772500
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-48-64,0.99525,0.0383615493774414,5213.55376009944,0.99525,0.0370123386383056,5403.60342950638,94.72318983078004,772500
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-12-64,0.9865,0.0259501934051513,7707.07165366629,0.9865,0.0240719318389892,8308.431634724904,85.79540085792542,774748
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-64-64,0.99525,0.0340313911437988,5876.926957082206,0.99525,0.0346951484680175,5764.494715575652,96.98463153839111,771668
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-64-8,0.96675,0.0136828422546386,14616.846140442583,0.9925,0.0218195915222167,9166.074433444786,96.98463153839111,771668
NSG,200,audio_rc_1.25,NSG-audio_rc_1.25-24-8,0.9595,0.0144886970520019,13803.863748560145,0.98925,0.0237002372741699,8438.7340804378,93.96332359313963,770324
HNSW,200,audio_rc_1.25,HNSW-audio_rc_1.25-24-12-24,0.94125,0.0268440246582031,7450.447633934916,0.94125,0.0272226333618164,7346.82781572955,10.520544528961182,654504
HNSW,200,audio_rc_1.25,HNSW-audio_rc_1.25-16-16-16,0.91775,0.0231978893280029,8621.474013093659,0.91825,0.025383710861206,7879.068631594767,7.065272092819214,645468
HNSW,200,audio_rc_1.25,HNSW-audio_rc_1.25-48-24-48,0.993,0.0269825458526611,7412.199022735104,0.99375,0.0288431644439697,6934.051927225836,9.53351616859436,661088
HNSW,200,audio_rc_1.25,HNSW-audio_rc_1.25-64-32-64,0.99575,0.0311017036437988,6430.515906477578,0.9965,0.0324809551239013,6157.454398649393,10.55440902709961,681764
HNSW,200,audio_rc_1.25,HNSW-audio_rc_1.25-96-96-96,0.99975,0.1415796279907226,1412.6326141576349,0.99975,0.1368246078491211,1461.7253661018603,29.66286444664001,684516
HNSW,200,audio_rc_1.25,HNSW-audio_rc_1.25-32-16-32,0.975,0.0224637985229492,8903.213755041392,0.975,0.0244748592376709,8171.650674589645,8.799340009689331,657224
HNSW,200,audio_rc_1.25,HNSW-audio_rc_1.25-16-8-16,0.86075,0.0159196853637695,12563.06236146888,0.86075,0.0167789459228515,11919.699897692395,7.908073663711548,648548
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-24-24-12,0.88125,0.0115852355957031,17263.351992097465,0.93825,0.0185184478759765,10800.04119888763,3.1268556118011475,656228
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-96-96-96,0.9945,0.0448908805847168,4455.247867605664,0.9945,0.0447392463684082,4470.347988276046,10.41086220741272,671100
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-64-64-32,0.96575,0.0279233455657959,7162.465526515766,0.974,0.0325043201446533,6153.028247012829,10.207455158233644,664520
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-24-24-24,0.9005,0.0133397579193115,14992.77582170113,0.93825,0.019172191619873,10431.775561469396,2.8936421871185303,657636
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-96-96-48,0.986,0.0274105072021484,7296.472061791107,0.986,0.0271308422088623,7371.684168900215,10.866047143936155,665176
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-32-32-32,0.9405,0.0137443542480468,14551.42936441854,0.954,0.0162079334259033,12339.636074785602,2.9470129013061523,657084
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-64-64-64,0.98175,0.0243163108825683,8224.93185606432,0.98175,0.0257134437561035,7778.032452480296,5.366013288497925,664216
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-16-16-8,0.8145,0.0113141536712646,17676.973975345063,0.893,0.0174148082733154,11484.479005517298,2.5078649520874023,653512
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-48-48-48,0.97225,0.0270366668701171,7397.361552028218,0.97225,0.0268294811248779,7454.486319325341,6.79718017578125,655896
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-48-48-24,0.94375,0.0187275409698486,10679.458681841908,0.96925,0.0417490005493164,4790.533841971812,7.028177738189697,661084
FLATNAV,200,audio_rc_1.25,FLATNAV-audio_rc_1.25-32-32-16,0.91075,0.0104427337646484,19152.07305936073,0.954,0.0172710418701171,11580.077305356155,3.2796072959899902,658064
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-12-32,0.81175,0.0158553123474121,12614.068749812035,0.8175,0.0181150436401367,11040.54751250329,1283.2270011901855,4097028
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-64-32,0.83675,0.0178825855255126,11184.06506232918,0.85925,0.0205211639404296,9746.035876940236,1261.0856447219849,4099068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-12-8,0.763,0.0119521617889404,16733.37455865632,0.8175,0.018000841140747,11110.5919126899,1283.2270011901855,4097028
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-24-64,0.86975,0.0298113822937011,6708.846910539196,0.86975,0.030837059020996,6485.702798824803,1331.6799659729004,4098068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-64-16,0.81475,0.0136277675628662,14675.918053149986,0.85925,0.0206677913665771,9676.892729013578,1261.0856447219849,4099068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-12-16,0.763,0.0119750499725341,16701.391681764788,0.8175,0.0175163745880126,11417.887816630144,1283.2270011901855,4097028
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-64-64,0.8785,0.0290195941925048,6891.895133793964,0.8785,0.0290279388427734,6889.913923385242,1261.0856447219849,4099068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-12-64,0.85175,0.0253429412841796,7891.743809738842,0.85175,0.0251710414886474,7945.6386455126685,1283.2270011901855,4097028
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-24-8,0.785,0.0181446075439453,11022.558604015558,0.832,0.0280959606170654,7118.461003199172,1331.6799659729004,4098068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-24-16,0.785,0.0145893096923828,13708.66779971238,0.832,0.0258421897888183,7739.282221607159,1331.6799659729004,4098068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-24-32,0.816,0.019242525100708,10393.646309581336,0.832,0.0223104953765869,8964.390822531177,1331.6799659729004,4098068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-48-8,0.78775,0.0139694213867187,14316.985253959583,0.84625,0.0221774578094482,9018.166181102786,1234.3364753723145,4098604
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-64-8,0.81475,0.0134737491607666,14843.678445667369,0.85925,0.0203499794006347,9828.019776460387,1261.0856447219849,4099068
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-48-64,0.87025,0.0306956768035888,6515.575508555539,0.87025,0.0317068099975585,6307.79318434746,1234.3364753723145,4098604
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-48-32,0.8135,0.0187971591949462,10639.905632856002,0.84625,0.0216100215911865,9254.96530191198,1234.3364753723145,4098604
NSG,200,glove_rc_2.0,NSG-glove_rc_2.0-48-16,0.78775,0.0138008594512939,14491.851084045951,0.84625,0.0219326019287109,9118.845116966691,1234.3364753723145,4098604
HNSW,200,glove_rc_2.0,HNSW-glove_rc_2.0-24-12-24,0.7785,0.020237922668457,9882.437208425616,0.78775,0.0229988098144531,8696.102172831315,713.1025214195251,1884708
HNSW,200,glove_rc_2.0,HNSW-glove_rc_2.0-16-8-16,0.66325,0.0156383514404296,12789.071838029027,0.675,0.0167326927185058,11952.648827334644,514.6898136138916,1774524
HNSW,200,glove_rc_2.0,HNSW-glove_rc_2.0-48-24-48,0.88825,0.031233787536621,6403.322035968367,0.899,0.0400550365447998,4993.129884585394,2866.031960010529,2296116
HNSW,200,glove_rc_2.0,HNSW-glove_rc_2.0-16-16-16,0.70125,0.0125298500061035,15961.883015564945,0.75425,0.016373872756958,12214.581300872198,309.19156527519226,1762796
HNSW,200,glove_rc_2.0,HNSW-glove_rc_2.0-96-96-96,0.94375,0.0775220394134521,2579.9114872782184,0.94375,0.0772409439086914,2589.300309903325,12788.083030223846,3071368
HNSW,200,glove_rc_2.0,HNSW-glove_rc_2.0-64-32-64,0.90225,0.0258381366729736,7740.496249065726,0.909,0.0271952152252197,7354.234866085127,5354.66826415062,2539524
HNSW,200,glove_rc_2.0,HNSW-glove_rc_2.0-32-16-32,0.83925,0.0241703987121582,8274.584229319971,0.85675,0.0295662879943847,6764.460930570115,1253.3968381881714,2028768
FLATNAV,200,glove_rc_2.0,FLATNAV-glove_rc_2.0-48-48-24,0.79125,0.0127003192901611,15747.63558542492,0.83025,0.017068862915039,11717.24214996089,256.7209060192108,1780252
FLATNAV,200,glove_rc_2.0,FLATNAV-glove_rc_2.0-32-32-32,0.7625,0.0177836418151855,11246.2903874514,0.782,0.0207366943359375,9644.738778513612,208.9508957862854,1701524
FLATNAV,200,glove_rc_2.0,FLATNAV-glove_rc_2.0-24-24-12,0.64225,0.0115885734558105,17258.37962391474,0.7095,0.0163280963897705,12248.825290209536,129.22417950630188,1663800
FLATNAV,200,glove_rc_2.0,FLATNAV-glove_rc_2.0-32-32-16,0.711,0.0133697986602783,14959.088396312214,0.782,0.0186989307403564,10695.798747912124,210.0297782421112,1705648
