Dataset,c,k,m,M_NUM,PIVOT,Q_NUM,R_MIN,RATIO,RECALL,AVG_TIME,COST,DATE
audio,1.5,50,15,16,5,100,3,1.00127,0.6854,3.75451,0.0461695,834.651,
audio,1.5,50,15,16,5,100,3,1.00134,0.9428,6.94488,0.0490513,834.866,
audio,1.5,50,15,16,5,100,3,1.00212,0.9366,3.57825,0.0471317,834.875,
audio,1.5,50,15,16,5,100,3,1.0025,0.9292,3.59336,0.0454159,834.889,
audio,1.5,50,15,16,5,100,3,1.00093,0.949,3.52016,0.0411941,834.892,
audio,1.5,50,15,16,5,100,3,1.00166,0.9396,3.55029,0.0421168,834.901,
audio,1.5,50,15,16,5,100,1,1.00064,0.9536,3.94277,0.064464,834.923,
audio,1.5,50,15,16,5,100,1,1.00065,0.9528,3.93232,0.0522436,834.924,
imageNet,1.5,50,15,16,5,100,1,1.19376,0.3458,185.528,0.0349611,834.925,
notre,1.5,50,15,16,5,100,1,1.00117,0.6878,52.7454,0.0776273,834.925,
ukbench,1.5,50,15,16,5,100,1,1.00069,0.6914,178.813,0.0703925,834.926,
cifar,1.5,50,15,16,5,100,1,1.00332,0.6482,8.80136,0.169447,834.926,
enron,1.5,50,15,16,5,100,1,1.0008,0.6864,25.0672,0.127629,834.926,
millionSong,1.5,50,15,16,5,100,1,1.00101,0.6862,111.122,0.0318121,834.927,
MNIST,1.5,50,15,16,5,100,1,1.00126,0.6924,10.8843,0.0925435,834.928,
nuswide,1.5,50,15,16,5,100,1,1.00232,0.5976,71.8622,0.174205,834.928,
sun,1.5,50,15,16,5,100,1,1.0016,0.6746,14.9073,0.152891,834.928,
deep,1.5,50,15,16,5,100,1,1.00107,0.6734,222.095,0.112593,834.929,
trevi,1.5,50,15,16,5,100,1,1.00091,0.6932,39.5239,0.0832136,834.93,
audio,1.75,50,15,16,5,100,1,1.00245,0.9306,3.00719,0.0309017,834.93,
imageNet,1.75,50,15,16,5,100,1,1.19751,0.5936,167.251,0.0299371,834.93,
notre,1.75,50,15,16,5,100,1,1.00102,0.9452,49.11,0.069037,834.931,
ukbench,1.75,50,15,16,5,100,1,1.002,0.931,161.984,0.0494446,834.931,
cifar,1.75,50,15,16,5,100,1,1.0028,0.9182,7.3444,0.131242,834.931,
enron,1.75,50,15,16,5,100,1,1.00168,0.9302,17.0175,0.0876244,834.931,
millionSong,1.75,50,15,16,5,100,1,1.0016,0.9324,121.989,0.0346244,834.931,
MNIST,1.75,50,15,16,5,100,1,1.00256,0.9276,9.18965,0.071111,834.931,
nuswide,1.75,50,15,16,5,100,1,1.00248,0.853,68.6589,0.160186,834.931,
sun,1.75,50,15,16,5,100,1,1.00243,0.911,12.1613,0.114497,834.931,
deep,1.75,50,15,16,5,100,1,1.00243,0.9082,201.551,0.0878475,834.932,
trevi,1.75,50,15,16,5,100,1,1.00133,0.9376,48.5844,0.098577,834.932,
audio,1.25,50,15,16,5,100,1,1.00027,0.9588,5.02634,0.0969768,834.932,
